iter	MultiClass
0	1.040246226
1	0.9955302164
2	0.9549377696
3	0.9209522528
4	0.89110883
5	0.8656211631
6	0.8423700493
7	0.8200481669
8	0.7999353031
9	0.7808444969
10	0.7610025385
11	0.7451704819
12	0.7320173095
13	0.7181486011
14	0.7061871844
15	0.6943048803
16	0.6833247354
17	0.6724995823
18	0.6629349969
19	0.6517261502
20	0.6427395149
21	0.634546367
22	0.6287478547
23	0.6216935277
24	0.6128977698
25	0.6064007832
26	0.5997039996
27	0.5923177292
28	0.5853947347
29	0.5795870153
30	0.5761714498
31	0.5728188236
32	0.5692478009
33	0.5645486576
34	0.5566295386
35	0.5503353339
36	0.5442211838
37	0.5403145327
38	0.5345506093
39	0.5322629366
40	0.5290674643
41	0.5264408763
42	0.5228218618
43	0.5188884384
44	0.5137748057
45	0.5096887803
46	0.5056591841
47	0.5013919961
48	0.4980106075
49	0.4960167437
50	0.4926394578
51	0.4890089763
52	0.4863021392
53	0.4840782377
54	0.4811657403
55	0.4779214609
56	0.4739407323
57	0.4718844236
58	0.4691620398
59	0.4662733034
60	0.4642005782
61	0.461658725
62	0.4589298376
63	0.4556023781
64	0.4538582605
65	0.4502588721
66	0.4475932547
67	0.4449496364
68	0.4427873234
69	0.4401492008
70	0.4371063274
71	0.4360041327
72	0.434814051
73	0.4332298614
74	0.4306549717
75	0.4290495572
76	0.4272094557
77	0.4251973097
78	0.4234016514
79	0.4218490171
80	0.4202720448
81	0.4177447985
82	0.4160694456
83	0.4132123488
84	0.4116455934
85	0.4099095784
86	0.4082977262
87	0.4048362653
88	0.4035399989
89	0.4022422605
90	0.4001371624
91	0.3991221914
92	0.3984164535
93	0.3971655126
94	0.3962924735
95	0.3950486442
96	0.3934437464
97	0.3927951617
98	0.3919141212
99	0.3906477617
100	0.3891577568
101	0.3883985534
102	0.3874388644
103	0.3861962101
104	0.3845245779
105	0.3840900725
106	0.3810519204
107	0.3802124968
108	0.3793076667
109	0.3784178961
110	0.3769250797
111	0.3751896841
112	0.3727521917
113	0.3713542373
114	0.3690135903
115	0.3674985864
116	0.3664340151
117	0.3640175046
118	0.3627263205
119	0.3618848839
120	0.3601374379
121	0.3596201989
122	0.3583579681
123	0.3575477755
124	0.3570638735
125	0.3559291613
126	0.3551158627
127	0.3540590205
128	0.3533945616
129	0.3526840781
130	0.3509635679
131	0.3502587253
132	0.349697607
133	0.3491376854
134	0.3481745098
135	0.3469147684
136	0.3458436483
137	0.3450590455
138	0.3437519214
139	0.3424176997
140	0.3420027051
141	0.3411061274
142	0.3405411151
143	0.3394080064
144	0.3390300453
