iter	Passed	Remaining
0	3	3989
1	10	5029
2	15	5219
3	20	5043
4	25	4980
5	29	4928
6	35	5055
7	40	4971
8	46	5152
9	51	5114
10	56	5082
11	62	5125
12	66	5086
13	70	4967
14	73	4858
15	78	4821
16	81	4739
17	86	4716
18	89	4642
19	93	4587
20	98	4602
21	103	4612
22	108	4596
23	112	4576
24	115	4522
25	121	4557
26	127	4577
27	130	4532
28	134	4491
29	138	4483
30	142	4460
31	146	4441
32	150	4403
33	155	4411
34	159	4395
35	163	4368
36	167	4359
37	171	4351
38	176	4339
39	179	4314
40	184	4325
41	188	4304
42	194	4332
43	200	4353
44	204	4343
45	207	4311
46	212	4304
47	215	4281
48	219	4265
49	223	4238
50	227	4234
51	232	4232
52	236	4232
53	242	4239
54	245	4223
55	249	4199
56	254	4218
57	261	4245
58	264	4225
59	268	4204
60	274	4219
61	277	4203
62	281	4185
63	285	4174
64	289	4168
65	293	4159
66	298	4151
67	304	4177
68	309	4173
69	313	4159
70	317	4160
71	321	4143
72	325	4137
73	329	4127
74	334	4127
75	338	4113
76	341	4097
77	346	4091
78	352	4106
79	356	4104
80	362	4114
81	367	4112
82	372	4120
83	380	4149
84	387	4173
85	391	4158
86	395	4151
87	402	4166
88	406	4159
89	409	4142
90	413	4132
91	418	4125
92	421	4109
93	425	4102
94	429	4090
95	432	4074
96	436	4066
97	441	4060
98	446	4064
99	451	4065
100	456	4060
101	459	4047
102	463	4037
103	467	4023
104	472	4023
105	476	4018
106	480	4010
107	484	4003
108	489	3999
109	493	3990
110	496	3978
111	501	3972
112	505	3966
113	509	3958
114	513	3953
115	517	3944
116	521	3938
117	525	3927
118	533	3947
119	537	3938
120	541	3937
121	546	3934
122	550	3926
123	554	3916
124	557	3903
125	562	3900
126	565	3890
127	569	3880
128	572	3867
129	577	3861
130	581	3855
131	584	3842
132	588	3833
133	595	3846
134	598	3835
135	602	3825
136	606	3821
137	610	3812
138	614	3804
139	618	3796
140	622	3789
141	626	3785
